product,price,category,link,image,description
15mm x 381mm x 2440mmWhite Melamine Shelving,£20.87,Melamine Shelving,https://www.travisperkins.co.uk/melamine-shelving/15mm-x-381mm-x-2440mmwhite-melamine-shelving/p/622687,https://dam-assets.apps.travisperkins.group/lZmwq/GPID_1000323666_IMG_00.jpeg?width=300&height=300,"A white Melamine faced chipboard, suitable for shelving and other internal applications.Suitable for shelvingSuitable various types of furniture including kitchen carcassesLipped on 2 long edgesChipboard substrate"
15mm x 610mm x 2440mm White Melamine Shelving,£26.56,Melamine Shelving,https://www.travisperkins.co.uk/melamine-shelving/15mm-x-610mm-x-2440mm-white-melamine-shelving/p/622690,https://dam-assets.apps.travisperkins.group/l1wPR/GPID_1000323669_IMG_00.jpeg?width=300&height=300,"A white Melamine faced chipboard, suitable for shelving and other internal applications.Suitable for shelvingSuitable various types of furniture including kitchen carcassesLipped on 2 long edgesChipboard substrate"
18mm x 600mm x 2400mm Caberfloor P5 Tongue And Grooved Moisture Resistant Chi...,£24.62,Flooring Grade Chipboard,https://www.travisperkins.co.uk/flooring-grade-chipboard/18mm-x-600mm-x-2400mm-caberfloor-p5-tongue-and-grooved-moisture-resistant-chipboard-flooring/p/611016,https://dam-assets.apps.travisperkins.group/XDYdD/GPID_1000262507_IMG_00.jpg?width=300&height=300,"An internal high density structural moisture resistant floor panel, the ideal solution for all domestic and specific commercial flooringResistant to moisture and soundThe panel must be conditioned as per the manufacturer's instructions prior to installationConforms to EN 312 and EN 13986DurableEasy to installConforms to the latest European low emission standards E1View more"
22mm x 600mm x 2400mm Caberfloor P5 Tongue And Grooved Moisture Resistant Chi...,£30.80,Flooring Grade Chipboard,https://www.travisperkins.co.uk/flooring-grade-chipboard/22mm-x-600mm-x-2400mm-caberfloor-p5-tongue-and-grooved-moisture-resistant-chipboard-flooring/p/611017,https://dam-assets.apps.travisperkins.group/R0v1b/GPID_1000262508_IMG_00.jpeg?width=300&height=300,"An internal high density structural moisture resistant floor panel, the ideal solution for all domestic and specific commercial flooringResistant to moisture and soundThe panel must be conditioned as per the manufacturer's instructions prior to installationConforms to EN 312 and EN 13986DurableEasy to installConforms to the latest European low emission standards E1View more"
22mm x 600mm x 2400mm Egger Protect Grey Tongue and Grooved Chipboard Floorin...,£30.74,Flooring Grade Chipboard,https://www.travisperkins.co.uk/flooring-grade-chipboard/22mm-x-600mm-x-2400mm-egger-protect-grey-tongue-and-grooved-chipboard-flooring/p/165344,https://dam-assets.apps.travisperkins.group/mP6B1/GPID_1000050908_IMG_00.jpeg?width=300&height=300,"EGGER Protect is manufactured from an EGGER P5 flooring grade particleboard with a unique, weather resistant surface layer applied to both the top and underside of the board.Laminated surface on both sides for added protectionFor structural use in accordance with EN 13986Manufactured to EN 312Tongued and grooved on 4 sides"
Caber D4 T&G Adhesive 1kg,£19.81,Flooring Grade Chipboard,https://www.travisperkins.co.uk/flooring-grade-chipboard/caber-d4-t-and-g-adhesive-1kg/p/346264,https://dam-assets.apps.travisperkins.group/Er6rn/GPID_1000427369_IMG_00.jpeg?width=300&height=300,"Multi-purpose flooring adhesiveSolvent free, one-component polyurethane adhesiveIdeal for use with Norbord's Caberdek, Caberfloor and Cabershield boardsIdeal for bonding flooring boards to both joists and tongue and groove jointsEfficient, economic foaming adhesive in an easy to hold 1kg bottle"
22mm x 600mm x 2400mm Caberdek P5 Tongue and Grooved Moisture Resistant Chipb...,£36.98,Flooring Grade Chipboard,https://www.travisperkins.co.uk/flooring-grade-chipboard/22mm-x-600mm-x-2400mm-caberdek-p5-tongue-and-grooved-moisture-resistant-chipboard-flooring/p/931275,https://dam-assets.apps.travisperkins.group/vnemkl8/GPID_1000071586_IMG_00.jpeg?width=300&height=300,"An internal high density structural moisture resistant floor panel, the ideal solution for all domestic and specific commercial flooring. Has a protective peel off film to prevent stains to the floor when used as a deck during constructionA high density durable panel offering a precision tongued and grooved profile, a floor panel that can be laid quickly and easilyThe finished face provides an excellent surface for subsequent floor laying operationsMoisture resistant P5 grade flooringThe panel conforms to the latest European low emission standards 'E1'Complies with EN13986 governing the use in construction, specifically standard EN 312The panel must be conditioned as per the manufacturers instructions prior to installationBBA ApprovedView more"
22mm x 600mm x 2400mm Egger Peelclean XTRA Tongue and Grooved Chipboard Floor...,£26.65,Flooring Grade Chipboard,https://www.travisperkins.co.uk/flooring-grade-chipboard/22mm-x-600mm-x-2400mm-egger-peelclean-xtra-tongue-and-grooved-chipboard-flooring/p/165363,https://dam-assets.apps.travisperkins.group/pzoBQ/GPID_1000050909_IMG_00.jpeg?width=300&height=300,"An internal high density structural moisture resistant floor panel, the ideal solution for all domestic and specific commercial flooringA high density durable panel offering a precision tongued and grooved profile, a floor panel that can be laid quickly and easilyOnce correctly laid, the panels can be left exposed to the elements for up to 42 days during the build processThe clean finished face provides an excellent surface for subsequent floor laying operationsComplies with EN13986 governing the use in construction, specifically standard EN 312View more"
Egger D4 Chipboard Flooring Adhesive 1kg,£22.01,Flooring Grade Chipboard,https://www.travisperkins.co.uk/flooring-grade-chipboard/egger-d4-chipboard-flooring-adhesive-1kg/p/165371,https://dam-assets.apps.travisperkins.group/erqZV/GPID_1000050910_IMG_00.jpeg?width=300&height=300,Used for bonding the panels to the joist and within the tongue and groove jointD4 adhesive is used for bonding the panels to the joist and within the tongue and groove joint as well as for sealing nail heads and adjacent areasD4 adhesive has optimum viscosity for speed of delivery and minimum wasteIt is packed in a handy 1kg squeezy bottle for ease of use onsite
Glass Beading Hardwood 2400 mm x 15 mm x 9 mm,£5.96,Beading,https://www.travisperkins.co.uk/window-boards/glass-beading-hardwood-2400-mm-x-15-mm-x-9-mm/p/278892,https://dam-assets.apps.travisperkins.group/gR4en/GPID_1100517943_IMG_00.jpg?width=300&height=300,"Glass beads and window beading are an ideal solution to add a decorated finish while helping glass panels be held in place.Traditional convedesign provides classic finishing touchInstall your glass bead using adhesive or pinsOur range of glass beads and window beading is available in hardwood, oak, pine and light hardwoodOur timber glass beads and window beading goes well if your existing window frames are made of similar timber or have a timber effectThis product is made to the highest quality and comes with a 2 year guaranteeInternal and external use. End user must ensure to add treatment to the timber before using it externally.Our Pine products are made using a lightweight, straight grained softwood which is easy to work with. Due to its strength, elasticity and relatively low cost, pine is a popular choice to be used in a variety of projects.To finish off pine, lightly sand before applying wood stain, varnish or a lacquerView more"
Cheshire Mouldings Pefc Wedge Glass Bead Pine 15 x 12mm x 2.4m,£4.70,Beading,https://www.travisperkins.co.uk/beading/cheshire-mouldings-pefc-wedge-glass-bead-pine-15-x-12mm-x-2-4m/p/278879,https://dam-assets.apps.travisperkins.group/6Q6k8/GPID_1100517963_IMG_00.jpg?width=300&height=300,"The wedge glass beads straight edges add contemporary style to your glass and door glazingThe wedge glass beads straight edges add contemporary style to your glass and door glazingInstall your glass bead using adhesive or pinsOur timber glass beads and window beading goes well if your existing window frames are made of similar timber or have a timber effectThis product is made to the highest quality and comes with a 2 year guaranteeInternal and external use. End user must ensure to add treatment to the timber before using it externally.Our Pine products are made using a lightweight, straight grained softwood which is easy to work with. Due to its strength, elasticity and relatively low cost, pine is a popular choice to be used in a variety of projects.View more"
